sample,hifi_dir,hic_dir,version,date,tolid,taxid,species
OG107,/scratch/pawsey0964/lhuet/ref-gen/OG107/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG107/hic,hic2,v240125,OG107,334902,Upeneichthys vlamingii
OG114,/scratch/pawsey0964/lhuet/ref-gen/OG114/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG114/hic,hic2,v240116,OG114,1230797,Leviprora inops
OG37,/scratch/pawsey0964/lhuet/ref-gen/OG37/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG37/hic,hic2,v240116,OG37,82893,Cheilodactylus nigripes
OG39,/scratch/pawsey0964/lhuet/ref-gen/OG39/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG39/hic,hic1,v250331,OG39,303721,Meuschenia
OG54,/scratch/pawsey0964/lhuet/ref-gen/OG54/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG54/hic,hic1,v250331,OG54,98380,Pseudolabrus biserialis
OG659,/scratch/pawsey0964/lhuet/ref-gen/OG659/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG659/hic,hic2,v240427,OG659,107241,Beryx decadactylus
OG662,/scratch/pawsey0964/lhuet/ref-gen/OG662/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG662/hic,hic1,v240327,OG662,879906,Xiphasia setifer
OG666,/scratch/pawsey0964/lhuet/ref-gen/OG666/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG666/hic,hic1,v241004,OG666,334914,Cephalopholis miniata
OG676,/scratch/pawsey0964/lhuet/ref-gen/OG676/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG676/hic,hic1,v240327,OG676,175431,Acanthurus nigricans
OG678,/scratch/pawsey0964/lhuet/ref-gen/OG678/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG678/hic,hic2,v240327,OG678,75044,Zanclus cornutus
OG679,/scratch/pawsey0964/lhuet/ref-gen/OG679/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG679/hic,hic1,v250307,OG679,75030,Paracanthurus hepatus
OG681,/scratch/pawsey0964/lhuet/ref-gen/OG681/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG681/hic,hic1,v250307,OG681,80948,Abudefduf sexfasciatus
OG696,/scratch/pawsey0964/lhuet/ref-gen/OG696/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG696/hic,hic2,v240228,OG696,544419,Scarus tricolor
OG702,/scratch/pawsey0964/lhuet/ref-gen/OG702/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG702/hic,hic2,v240501,OG702,396784,Lutjanus bohar
OG749,/scratch/pawsey0964/lhuet/ref-gen/OG749/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG749/hic,hic2,v250331,OG749,492110,Chromis circumaurea
OG750,/scratch/pawsey0964/lhuet/ref-gen/OG750/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG750/hic,hic1,v241004,OG750,3352521,Azurina brevirostris
OG766,/scratch/pawsey0964/lhuet/ref-gen/OG766/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG766/hic,hic1,v241004,OG766,1156109,Genicanthus bellus
OG778,/scratch/pawsey0964/lhuet/ref-gen/OG778/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG778/hic,hic1,v250331,OG778,1003756,Malacanthus latovittatus
OG785,/scratch/pawsey0964/lhuet/ref-gen/OG785/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG785/hic,hic2,v241004,OG785,990613,Odontanthias borbonius
OG788,/scratch/pawsey0964/lhuet/ref-gen/OG788/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG788/hic,hic1,v250505,OG788,586785,Centropyge bispinosa
OG79,/scratch/pawsey0964/lhuet/ref-gen/OG79/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG79/hic,hic2,v240427,OG79,2485022,Pseudophycis breviuscula
OG800,/scratch/pawsey0964/lhuet/ref-gen/OG800/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG800/hic,hic1,v241004,OG800,1984851,Terelabrus rubrovittatus
OG803,/scratch/pawsey0964/lhuet/ref-gen/OG803/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG803/hic,hic1,v240927,OG803,241267,Bodianus
OG811,/scratch/pawsey0964/lhuet/ref-gen/OG811/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG811/hic,hic1,v241004,OG811,57791,Ecsenius
OG824,/scratch/pawsey0964/lhuet/ref-gen/OG824/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG824/hic,hic1,v241004,OG824,160734,Plectropomus leopardus
OG829,/scratch/pawsey0964/lhuet/ref-gen/OG829/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG829/hic,hic1,v240927,OG829,1182148,Coris auricularis
OG836,/scratch/pawsey0964/lhuet/ref-gen/OG836/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG836/hic,hic1,v240520,OG836,443757,Carcharhinus cautus
OG837,/scratch/pawsey0964/lhuet/ref-gen/OG837/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG837/hic,hic1,v240813,OG837,195338,Urogymnus asperrimus
OG838,/scratch/pawsey0964/lhuet/ref-gen/OG838/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG838/hic,hic1,v240813,OG838,495877,Pristis zijsron
OG844,/scratch/pawsey0964/lhuet/ref-gen/OG844/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG844/hic,hic1,v241023,OG844,46612,Carcharhinus leucas
OG845,/scratch/pawsey0964/lhuet/ref-gen/OG845/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG845/hic,hic1,v241023,OG845,195334,Sphyrna mokarran
OG866,/scratch/pawsey0964/lhuet/ref-gen/OG866/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG866/hic,hic1,v250505,OG866,36220,Pachycara
